descriptor,primary_abs_shap,primary_rank,bootstrap_mean_abs_shap,shap_ci95_low,shap_ci95_high,bootstrap_median_rank,rank_ci95_low,rank_ci95_high,rank_iqr,rank_sd,top3_frequency_within_18,top5_frequency_within_18
SlogP_VSA3,0.10652911364635453,1.0,0.07098289710499707,0.028206462839442115,0.17905148631486836,4.0,1.0,14.0,4.0,3.5870374510660885,0.386,0.654
VSA_EState5,0.09273354750151148,2.0,0.1253002742959427,0.05866262455371016,0.22656425976331843,1.0,1.0,4.0,1.0,1.02437428968651,0.942,0.99
VSA_EState2,0.06358930529967709,3.0,0.09956942099015353,0.03515436136573612,0.22486772049155268,2.0,1.0,10.524999999999977,2.0,2.5458646573821273,0.682,0.866
VSA_EState7,0.04665232835073416,4.0,0.08044600581561463,0.039011019943719666,0.1576912238233674,3.0,1.0,8.0,2.0,2.077454122540983,0.574,0.856
MolLogP,0.03984767144476559,5.0,0.053724155985703646,0.027226033388484012,0.09486760659285291,5.0,2.0,13.524999999999977,3.0,2.7684241627123143,0.15,0.51
Chi1v,0.035821050248179644,6.0,0.048905500360707004,0.02269008030705979,0.10178802437534983,7.0,2.0,17.0,5.0,4.076964960184616,0.116,0.354
AvgIpc,0.035225516815872854,7.0,0.03509754606023841,0.018458308240645066,0.06006520646747584,11.0,4.0,18.0,6.0,3.771671647164962,0.012,0.064
Kappa2,0.03309062072570099,8.0,0.04224841363146963,0.01942030444376358,0.08790524705197494,9.0,2.4750000000000014,18.0,7.0,4.2927029477002465,0.08,0.214
Ipc,0.03271542815413434,9.0,0.0305258669355788,0.016436012552897866,0.05038274407407352,13.0,6.0,18.0,6.0,3.468432505916209,0.002,0.012
Chi1,0.031955406491150154,10.0,0.030697482728743567,0.016596762115613298,0.05084995049270826,13.0,5.0,18.0,6.0,3.5615762874466985,0.0,0.03
SMR_VSA1,0.029891235370516314,11.0,0.03412397569356909,0.017566869235438997,0.0589661440201684,11.0,5.0,18.0,5.0,3.654464423200872,0.002,0.042
Chi4n,0.027376233309649386,12.0,0.03337832922960419,0.01778652922871201,0.05864356830416213,12.0,5.0,18.0,6.0,3.677074619247075,0.0,0.04
SlogP_VSA2,0.024839380084552404,13.0,0.043505592505249165,0.02417868442686728,0.0700024463498232,7.5,3.0,16.0,4.0,3.329645187425876,0.034,0.22
NumValenceElectrons,0.02377519176072955,14.0,0.03109760985101765,0.0175664030992681,0.05065890211172113,13.0,5.0,18.0,6.0,3.529376289656286,0.004,0.03
SMR_VSA5,0.022567715739715784,15.0,0.030228761217107998,0.015835919981508177,0.048282485610117484,14.0,6.0,18.0,5.0,3.4889639922875326,0.002,0.022
Chi4v,0.01537452488557911,16.0,0.03365093816198922,0.01843147504198602,0.05926285717519995,12.0,4.0,18.0,6.0,3.7957702437696326,0.01,0.048
VSA_EState9,0.013445456422597233,17.0,0.026322128574327603,0.010989595735305273,0.056353230170729504,16.0,5.0,18.0,6.0,3.918966777251678,0.004,0.034
Chi0,0.01258080464563259,18.0,0.030535526930864528,0.016309396627699577,0.05280335180296936,13.0,6.0,18.0,5.0,3.4809824011267145,0.0,0.014
