feature,mean_abs_shap,median_abs_shap,ci95_low,ci95_high,mean_signed_shap,mean_rank,median_rank,top5_frequency,top10_frequency
Effect Measurement_LOO,1.2714422565298609,1.2612387489272683,1.029438595994807,1.5418080743328975,-0.34289636560064585,1.0,1.0,1.0,1.0
Immunotoxicity,0.35728251742173556,0.3433411266469327,0.1858388115622251,0.566747424136591,-0.08632129456780326,2.286,2.0,0.994,1.0
Behavior_Neuro,0.1856821224578056,0.1639371773863666,0.0689478685092425,0.4080220288203097,-0.02588892260025073,5.574,5.0,0.584,0.928
Endocrine_Thyroid,0.17030401483950544,0.16217844589625405,0.07304434232778624,0.29597763656524206,-0.02607590200929046,5.5,5.0,0.594,0.956
Oxidative_Stress,0.15102614014231167,0.14483282406126075,0.05388328390719257,0.28730958706044807,-0.020921004862084824,6.61,6.0,0.418,0.888
Endocrine_Reproductive,0.12863254535425528,0.1198323061835733,0.04575979214719664,0.2561579674539677,-0.01739351000373478,8.004,7.0,0.284,0.788
Cardiovascular_Angiogenesis,0.12800864331726422,0.10200147952056494,0.0162386956667017,0.37521915205050743,-0.020087594778503567,9.844,9.0,0.292,0.598
VSA_EState5,0.1253002742959427,0.1202591777342703,0.05866262455371016,0.22656425976331843,-0.028728797980656865,7.736,8.0,0.236,0.844
General_Fitness,0.11895872428686036,0.1198387803801608,0.02354144838199718,0.204309633532931,-0.007233694124737055,8.666,8.0,0.198,0.826
Morphological_Development,0.10606440711364672,0.09568553815256214,0.02750149984461461,0.2381771709349851,-0.017451113836241566,10.198,9.0,0.166,0.61
VSA_EState2,0.09956942099015353,0.08834824137727955,0.03515436136573612,0.22486772049155268,-0.0269961474753197,10.316,10.0,0.138,0.54
VSA_EState7,0.08044600581561463,0.0741637651660947,0.039011019943719666,0.1576912238233674,-0.016940197736320408,11.52,12.0,0.03,0.35
SlogP_VSA3,0.07098289710499707,0.061550582289647,0.028206462839442115,0.17905148631486836,-0.011895320410708529,13.432,13.0,0.044,0.264
MolLogP,0.053724155985703646,0.0505772060685779,0.027226033388484012,0.09486760659285291,-0.011100924367636954,14.968,15.0,0.004,0.082
Chi1v,0.048905500360707004,0.043400356273559496,0.02269008030705979,0.10178802437534983,-0.008065562731851756,17.04,16.0,0.002,0.066
SlogP_VSA2,0.043505592505249165,0.04118607484707205,0.02417868442686728,0.0700024463498232,-0.008121077323690532,17.646,17.0,0.0,0.01
Kappa2,0.04224841363146963,0.03814852703176635,0.01942030444376358,0.08790524705197494,-0.009075356411876807,18.828,18.0,0.0,0.034
Hematotoxicity,0.03831170388999199,0.02556511398602965,0.00020678185660316507,0.11847574233904641,-0.00316490489835866,21.734,26.0,0.006,0.144
AvgIpc,0.03509754606023841,0.0328917538713377,0.018458308240645066,0.06006520646747584,-0.006395174322819161,21.078,21.0,0.0,0.002
SMR_VSA1,0.03412397569356909,0.03303486697652925,0.017566869235438997,0.0589661440201684,-0.007533068377554326,21.288,21.0,0.0,0.0
Apoptosis_Proliferation,0.03393384371054448,0.0267689059531297,0.0029143290715054953,0.11382716295692244,-0.007465934513781158,22.622,25.0,0.01,0.058
Chi4v,0.03365093816198922,0.03209327362053655,0.01843147504198602,0.05926285717519995,-0.006019951618181315,21.672,22.0,0.0,0.0
Chi4n,0.03337832922960419,0.0317717100856508,0.01778652922871201,0.05864356830416213,-0.00649255658292188,21.696,22.0,0.0,0.0
NumValenceElectrons,0.03109760985101765,0.030328581412040152,0.0175664030992681,0.05065890211172113,-0.007003226140217819,22.7,23.0,0.0,0.0
Chi1,0.030697482728743567,0.02940897186062565,0.016596762115613298,0.05084995049270826,-0.006634799333867169,22.894,24.0,0.0,0.0
Chi0,0.030535526930864528,0.02899716166765515,0.016309396627699577,0.05280335180296936,-0.006655909422287379,23.132,23.0,0.0,0.0
Ipc,0.0305258669355788,0.029546693237977352,0.016436012552897866,0.05038274407407352,-0.006742873972909456,23.026,23.0,0.0,0.0
SMR_VSA5,0.030228761217107998,0.02917696922402655,0.015835919981508177,0.048282485610117484,-0.006636471925791323,23.112,23.0,0.0,0.0
VSA_EState9,0.026322128574327603,0.023722040722189197,0.010989595735305273,0.056353230170729504,-0.004415372258658836,24.926,27.0,0.0,0.006
Metabolism_Energy,0.0210011202757527,0.01729296385085035,0.0018404554099257355,0.06172065999288361,-0.002749752433782608,25.952,29.0,0.0,0.006
